Sysnet,POS,Predicted
b'Ose\xc4\x87anje pomanjkanje briga . ',0,1
b'nesmanjen i nenaru\xc5\xa1en celovitost ili ukupnost . ',1,0
b'general visok rang ',0,1
b'koji ose\xc4\x87ati ili ispoljavati velik uzbu\xc4\x91enje ili zainteresovanost ',1,0
b'istrajati ili uspevati . ',0,1
b'karanfil i ? pinks . ',0,1
b'okarakterisan prijateljstvo i dobar volja ',1,0
b'prilika za zaposlenje ili promocija . ',0,1
b'na visok nivo po rang ili zna\xc4\x8daj ',1,0
"b'koji ohrabrivati , odobravati ili zadovoljavati '",1,0
b'biti veoma primetati . ',1,0
b'Apolutno va\xc5\xbeno . ',1,0
b'izazvati \xc5\xa1teta na ne\xc5\xa1to . ',0,1
b'kvalitet ne\xc5\xa1to \xc5\xa1to jesam adekvatno ili perfektno . ',0,1
b'neki nizak rang ili polo\xc5\xbeaj ili kvalitet . ',0,1
b'revnostan u posve\xc4\x87enost i privr\xc5\xbeenost ',1,0
b'koji mo\xc4\x87i ponovo da se koristiti ',1,0
b'moralno iskvariti ',0,1
b'nedoli\xc4\x8dan ili nemoralan pona\xc5\xa1anje ',0,1
"b'onaj koji sklapati ugovor , kontrakt s neki lice ili ustanova '",0,1
b'onaj \xc5\xa1to jesam otkriven instinkt ili zaklu\xc4\x8divanjem a ne prepoznavanje uo\xc4\x8den znak ',0,1
"b'koji se \xc5\xbeeti , tra\xc5\xbeiti '",1,0
b'koji donositi dobar profit ',1,0
b'Koli\xc4\x8dina za koji ne\xc5\xa1to rasti . ',0,1
b'lajati visok ton ',0,1
b'za ',0,1
b'koji ispoljavati pogodan ili povoljan uticaj ',1,0
b'kvalitet onaj \xc5\xa1to jesam te\xc5\xa1ko otkriti ili analizirati . ',0,1
b'strm visok obronak ili stena ',0,1
b'umetnik nenadma\xc5\xa1an ve\xc5\xa1tina . ',1,0
b'kvalitet onaj ko jesam bri\xc5\xbeljiv . ',0,1
b'ose\xc4\x87ati zadovoljstvo zbog ne\xc5\xa1to ',1,0
b'ose\xc4\x87anje velik utu\xc4\x8denost i melanholija ',0,1
b'zaokupiti na prijatan ili zabavan na\xc4\x8din . ',1,0
b'koji jesam moralno lo\xc5\xbe ili pogre\xc5\xa1an . ',0,1
b'koji izra\xc5\xbeavati ili propovedati obo\xc5\xbeavanje bo\xc5\xbeanstvo . ',1,0
b'blagonaklon procena ',1,0
b'onaj koji jesam u stanje san ',0,1
"b'u\xc4\x8diniti da ne\xc5\xa1to postati sanitarni ( bez bacil ) , replaced-dns '",1,0
b'diviti se i \xc4\x8duditi ne\xc5\xa1to ',1,0
b'kvalitet koji ne pru\xc5\xbeati zadovoljstvo \xc4\x8dulo . ',0,1
b'Aguti i ? ? ',0,1
b'koji jesam klonuo duh ',0,1
b'koji jesam moralno odbojan ili neugodan za \xc4\x8dulo . ',0,1
b'oporavak ili na\xc4\x8din \xc4\x8duvanje od gubitak ili opasnost . ',1,0
b'svojstvo onaj \xc5\xa1to se lepiti za neki povr\xc5\xa1ina ',0,1
b'stanje kada jesam neki prosperitetan i uspe\xc5\xa1an . ',1,0
b'potpun kompleks stav i ube\xc4\x91enje . ',0,1
b'radnja koji karakterisati dobro raspolo\xc5\xbeenje ',1,0
"b'u skolastika , jedan od \xc4\x8detiri vrlina koji dolaziti od priroda . '",1,0
